id,autor,nacionalidad,epoca,tipo_autor,sentimiento,emocion_tag,frase_motivacional,cancion_recomendada,artista_cancion,genero_musical,año_cancion,por_que_combina
101,Johann Wolfgang von Goethe,Alemania,Siglo XVIII-XIX,Poeta / Escritor,Ambición creativa,ambición,Lo que puedes hacer o sueñas que puedes — comienza. La audacia tiene genio y poder y magia.,Lose Yourself,Eminem,Hip-hop / Rap,2002,Ambos capturan ese momento decisivo en que hay que actuar o perderse la oportunidad para siempre.
102,Victor Hugo,Francia,Siglo XIX,Poeta / Escritor,Esperanza social,esperanza,Incluso la noche más oscura terminará y el sol volverá a salir. Confía en el ciclo.,Here Comes the Sun,The Beatles,Rock / Pop,1969,La promesa más sencilla y poderosa: después de la oscuridad siempre llega la luz.
103,Charles Baudelaire,Francia,Siglo XIX,Poeta,Belleza oscura,melancolía,Las flores del mal también tienen su perfume. No desprecies lo que te duele — te enseñó.,Black,Pearl Jam,Grunge / Rock,1991,Ambas encuentran belleza profunda en el dolor — sin intentar suavizarlo ni resolverlo.
104,Arthur Rimbaud,Francia,Siglo XIX,Poeta,Ruptura y fuga,rebeldía juvenil,Hay que ser absolutamente moderno. Rompe con todo lo que te limita y empieza desde cero.,Youth,Daughter,Indie folk,2013,La urgencia de vivir intensamente antes de que la juventud pase — cruda y honesta.
105,Paul Verlaine,Francia,Siglo XIX,Poeta,Languidez y música,sensibilidad,La música ante todo — y para eso prefiere lo impar. Deja que el alma suene sola.,Comptine d'un autre été,Yann Tiersen,Neoclásico / Soundtrack,2001,Melodía que parece escrita desde el alma — pura musicalidad sin explicaciones necesarias.
106,Stéphane Mallarmé,Francia,Siglo XIX,Poeta,Silencio y palabra,lenguaje,Nombrar un objeto es suprimir tres cuartas partes del placer del poema. Sugiere — no digas.,Clair de Lune,Debussy,Música clásica,1905,Ambos prefieren la insinuación a la declaración — lo que no se dice contiene más verdad.
107,Paul Éluard,Francia,Siglo XX,Poeta (Surrealismo),Amor libre,amor,He escrito tu nombre en todas partes — en la arena en la nieve en la luz. Libertad.,La Vie en Rose,Louis Armstrong (cover),Jazz,1950,El amor como acto de escritura y de liberación — nombrar al amado es ya un acto de libertad.
108,Guillaume Apollinaire,Francia,Siglo XX,Poeta,Nostalgia y modernidad,nostalgia,Bajo el puente Mirabeau fluye el Sena y nuestros amores. El tiempo pasa — yo me quedo.,Le Temps de l'Amour,Françoise Hardy,Chanson française,1962,La misma nostalgia elegante — el amor que se fue y el río que sigue fluyendo sin detenerse.
109,Antonin Artaud,Francia,Siglo XX,Poeta / Dramaturgo,Cuerpo y locura,intensidad,Donde hay humo hay fuego. Donde hay arte hay una mente que se negó a ser domar.,Hysteria,Muse,Alternative rock / Prog,2003,Energía de alguien que siente demasiado — y lo convierte en arte en lugar de apagarlo.
110,Francis Ponge,Francia,Siglo XX,Poeta,Objetos y mundo,atención,Una piedra es un mundo. Una naranja es un universo. Mira lo que tienes delante — de verdad.,Pink Moon,Nick Drake,Folk,1972,Una canción de una sencillez brutal que convierte lo pequeño en algo eterno e infinito.
111,Heinrich Heine,Alemania,Siglo XIX,Poeta,Ironía y amor,ironía,No conozco la razón por la que estoy tan triste. Un cuento de tiempos pasados no me sale de la cabeza.,Creep,Radiohead,Alternative rock,1992,Ambos mezclan la autoironía con un dolor genuino — se ríen de sí mismos mientras sangran.
112,Bertolt Brecht,Alemania,Siglo XX,Poeta / Dramaturgo,Política y arte,conciencia social,Primero viene la comida — después la moral. El arte debe incomodar a los que están cómodos.,Sunday Bloody Sunday,U2,Post-punk / Rock,1983,Una canción que usa el arte como denuncia — exactamente lo que Brecht predicó toda su vida.
113,Friedrich Hölderlin,Alemania,Siglo XVIII-XIX,Poeta,Dioses y ausencia,espiritualidad,¿Para qué poetas en tiempos de penuria? Para recordarnos lo sagrado cuando todo lo demás falla.,Hallelujah,Jeff Buckley (cover),Folk / Rock,1994,Una canción que busca lo sagrado en la pérdida — igual que Hölderlin buscó a los dioses en el silencio.
114,Georg Trakl,Austria,Siglo XX,Poeta (Expresionismo),Decadencia y belleza,tristeza,Las cosas rotas también tienen su lugar en el mundo. No hay belleza sin fractura.,Creep,Radiohead,Alternative rock,1992,La misma sensación de estar fuera de lugar y encontrar belleza extraña en ese dolor.
115,Else Lasker-Schüler,Alemania,Siglo XIX-XX,Poeta,Amor excéntrico,amor singular,Amo sin reglas ni medidas. El amor que cabe en un molde no es amor — es costumbre.,Strange,Celeste,Soul / Jazz,2021,Una canción sobre amar de manera poco convencional y encontrar en eso algo más real.
116,Stefan George,Alemania,Siglo XIX-XX,Poeta,Belleza y élite,perfección,Lo bello exige sacrificio. Cada verso que vale la pena costó muchos que no lo valían.,Beethoven - Ode to Joy,Orquesta Filarmónica de Berlín,Música clásica,1824,La obra maestra que nació del sacrificio total — Beethoven sordo componiendo el himno de la humanidad.
117,Peter Handke,Austria,Siglo XX-XXI,Poeta / Dramaturgo,Lenguaje y realidad,lenguaje,Las palabras que usamos construyen el mundo que habitamos. Elige las tuyas con cuidado.,The Sound of Silence,Simon & Garfunkel,Folk rock,1964,Ambos exploran cómo el lenguaje forma y deforma nuestra percepción de la realidad.
118,Gottfried Benn,Alemania,Siglo XX,Poeta,Nihilismo y arte,existencial,Solo existe el yo del poeta. Todo lo demás es silencio. Pero qué silencio tan rico.,Mad World,Tears for Fears,Synth-pop,1982,Una canción que mira el mundo con desapego total — y en esa distancia encuentra algo verdadero.
119,Ernst Toller,Alemania,Siglo XX,Poeta / Dramaturgo,Revolución fallida,desencanto,Luchamos por un mundo mejor y perdimos. Pero haber luchado ya fue una forma de ganar.,Changes,David Bowie,Glam rock,1971,Una canción sobre transformación que reconoce las pérdidas sin por eso rendirse al cinismo.
120,Erich Fried,Austria,Siglo XX,Poeta,Amor y política,amor político,Es lo que es — dice el amor. Y en esa sencillez está toda la filosofía que necesitamos.,All You Need Is Love,The Beatles,Rock / Pop,1967,La misma radical sencillez: al final todo se reduce a una sola cosa — el amor.
121,Dante Alighieri,Italia,Siglo XIII-XIV,Poeta,Viaje del alma,transformación,En el medio del camino de mi vida me encontré en una selva oscura. Eso fue el comienzo.,Stairway to Heaven,Led Zeppelin,Hard rock / Folk,1971,Ambas son viajes épicos del alma — desde la oscuridad hacia algo que se parece a la redención.
122,Francesco Petrarca,Italia,Siglo XIV,Poeta,Amor platónico,amor no correspondido,El tiempo que huye no puede volver. Ama ahora — aunque no te correspondan.,Unrequited Love (To Love Somebody),Michael Bublé,Jazz / Pop,2011,El dolor dulce de amar sin ser amado de vuelta — tan antiguo como la poesía misma.
123,Giacomo Leopardi,Italia,Siglo XIX,Poeta,Pesimismo y belleza,melancolía,Lo infinito me seduce — pero me aplasta. Solo el arte puede sostener esa contradicción.,Nuvole Bianche,Ludovico Einaudi,Neoclásico / Piano,2004,Una pieza que sostiene la melancolía y la vastedad sin resolverla — pura emoción sin palabras.
124,Giovanni Pascoli,Italia,Siglo XIX-XX,Poeta,Infancia y pérdida,inocencia,El niño que fuiste no ha muerto — te mira desde adentro. Escúchalo a veces.,The A Team,Ed Sheeran,Indie pop / Folk,2011,Una canción sobre la fragilidad de los inocentes en un mundo que los aplasta sin piedad.
125,Eugenio Montale,Italia,Siglo XX,Poeta,Aridez y verdad,honestidad,No te pido algo enorme — solo que no seas falso. La honestidad es ya una forma de amor.,Naked as We Came,Iron & Wine,Indie folk,2004,Canción de una honestidad desnuda — sin artificios — que dice exactamente lo que es.
126,Giuseppe Ungaretti,Italia,Siglo XX,Poeta (Hermetismo),Guerra y humanidad,fraternidad,Me ilumino de inmenso. En medio de la guerra encontré que somos todos hermanos.,Bridge Over Troubled Water,Simon & Garfunkel,Folk / Pop,1970,La fraternidad como acto radical — estar ahí para el otro en el momento más oscuro.
127,Salvatore Quasimodo,Italia,Siglo XX,Poeta,Soledad insular,soledad,Cada uno está solo sobre el corazón de la Tierra — traspasado por un rayo de sol — y es de repente tarde.,Lonely,Akon,R&B / Pop,2004,La soledad no como situación sino como condición humana fundamental que toca a todos.
128,Pier Paolo Pasolini,Italia,Siglo XX,Poeta / Cineasta,Cuerpo y sociedad,rebeldía,El cuerpo es el primer lenguaje político. Lo que hacemos con él dice todo sobre el mundo en que vivimos.,99 Problems,Jay-Z,Hip-hop,2003,Arte que usa el cuerpo y la experiencia física como forma de resistencia y declaración política.
129,Cesare Pavese,Italia,Siglo XX,Poeta,Muerte y amor,duelo,Vendrá la muerte y tendrá tus ojos. Hasta en la pérdida hay algo familiar y casi tierno.,Tears in Heaven,Eric Clapton,Soft rock / Blues,1992,Una canción escrita desde el dolor más profundo — la pérdida como algo que nos da forma.
130,Dino Campana,Italia,Siglo XIX-XX,Poeta,Viaje y locura,intensidad,Viajé sin destino y encontré que el camino mismo era el poema más largo que escribí.,On the Road Again,Willie Nelson,Country,1980,El camino como estado del alma — no como medio para llegar sino como forma de vivir.
131,Fernando Pessoa,Portugal,Siglo XX,Poeta (Heterónimos),Multiplicidad del yo,identidad,No soy uno — soy varios. Y cada uno de ellos vive una vida que el otro ignora por completo.,The Many Faces of Me,Tame Impala,Psychedelic rock,2015,Ambos exploran la fragmentación de la identidad — ser muchas personas a la vez sin contradicción.
132,Luís de Camões,Portugal,Siglo XVI,Poeta,Épica y amor,grandeza,Amor es un fuego que arde sin verse. Es herida que duele y no se siente. Es un contentamiento descontento.,I Will Always Love You,Whitney Houston,Pop / R&B,1992,El amor como fuerza contradictoria y total — que duele y da vida al mismo tiempo.
133,Sophia de Mello Breyner,Portugal,Siglo XX,Poeta,Luz y claridad,claridad,La justicia es exacta como la luz. Donde ella llega no hay sombras ni mentiras posibles.,This Little Light of Mine,Sam Cooke,Gospel / Soul,1962,La luz como metáfora de la verdad y la justicia — exactamente el universo de Sophia.
134,Eugénio de Andrade,Portugal,Siglo XX,Poeta,Amor y naturaleza,amor,El amor necesita luz y agua como las plantas. No lo descuides o se marchita sin ruido.,Here Without You,3 Doors Down,Rock,2003,Una canción sobre el amor que persiste incluso en la ausencia — y que hay que cultivar.
135,Al-Mutanabbi,Iraq,Siglo X,Poeta,Orgullo y valor,orgullo,Soy conocido en el mundo de los jinetes y en el de la pluma. Conócete — y que te conozcan.,We Will Rock You,Queen,Rock,1977,Ambos celebran el poder de hacerse notar — con confianza y sin disculpas.
136,Omar Khayyam,Persia,Siglo XI-XII,Poeta,Placer y tiempo,hedonismo,Un pan de molde y un jarro de vino y tú junto a mí — el desierto es suficiente paraíso.,Enjoy the Silence,Depeche Mode,Synth-pop,1990,Ambos proponen que la felicidad está en lo simple y presente — no en lo que vendrá después.
137,Hafez,Persia,Siglo XIV,Poeta,Amor divino y vino,amor místico,Incluso Dios tiene necesidad de amor — ¿cómo no ibas a tenerla tú? Ama sin vergüenza.,Lover of the Light,Mumford & Sons,Folk rock,2012,Una canción sobre amar con todo el ser — sin reservas — igual que los poemas de Hafez.
138,Saadi de Shiraz,Persia,Siglo XIII,Poeta,Compasión universal,empatía,Los hijos de Adán son miembros entre sí. Cuando uno sufre todos los demás sienten el dolor.,Lean On Me,Bill Withers,Soul / R&B,1972,La compasión como base de toda comunidad humana — la misma lección en ambas obras.
139,Abu Nuwas,Iraq / Persia,Siglo VIII-IX,Poeta,Placer y transgresión,transgresión,Bebe el vino y olvida lo que dicen de ti. La opinión del mundo pesa menos que una copa llena.,IDGAF,Dua Lipa,Pop,2018,Ambos celebran el arte de no importarle lo que piensen los demás — con elegancia y alegría.
140,Ibn Arabi,España / Siria,Siglo XII-XIII,Poeta místico,Amor universal,amor divino,Mi corazón es capaz de adoptar cualquier forma. Es prado para las gacelas y monasterio para los monjes.,Love the One You're With,Crosby Stills & Nash,Folk rock,1970,La apertura total del corazón a cualquier forma de amor — sin exclusiones ni fronteras.
141,Lope de Vega,España,Siglo XVI-XVII,Poeta / Dramaturgo,Amor y celos,amor pasional,Desmayarse atreverse estar furioso — el amor no tiene escala media. Solo extremos.,Jealous Guy,John Lennon,Rock / Pop,1971,La misma turbulencia emocional del amor pasional — intenso y sin control posible.
142,Francisco de Quevedo,España,Siglo XVII,Poeta,Amor más allá de la muerte,amor eterno,Serán ceniza mas tendrán sentido. Polvo serán mas polvo enamorado.,My Immortal,Evanescence,Rock / Gothic,2003,El amor que persiste más allá de la muerte — la misma convicción en ambas obras.
143,San Juan de la Cruz,España,Siglo XVI,Poeta,Noche oscura del alma,espiritualidad,En la noche oscura del alma cuando no hay nada — ese vacío es ya la llegada de Dios.,The Sound of Silence,Disturbed (cover),Metal / Rock,2015,La travesía por la oscuridad como camino necesario hacia algo más profundo y verdadero.
144,Sor Juana Inés de la Cruz,México,Siglo XVII,Poeta,Conocimiento y género,empoderamiento,Hombres necios que acusáis a la mujer sin razón — ¿por qué culpáis lo que no podéis cambiar?,Brave,Sara Bareilles,Pop,2013,Un himno al coraje de hablar la verdad aunque el mundo prefiera el silencio femenino.
145,Rubén Darío,Nicaragua,Siglo XIX-XX,Poeta (Modernismo),Belleza y melancolía,melancolía,¡Y no saber adónde vamos ni de dónde venimos! La belleza es el único consuelo.,El Cant dels Ocells,Pau Casals,Música clásica / Catalana,1971,Una melodía que sostiene la incertidumbre de la existencia con dignidad y emoción pura.
146,Gabriela Mistral,Chile,Siglo XX,Poeta,Niñez sagrada,ternura,Todas las infancias son sagradas. El niño que no fue amado sufre de un hambre que no tiene nombre.,You Are My Sunshine,Johnny Cash,Country / Folk,1940,Una canción de amor incondicional que da calor donde antes hubo frío — exactamente lo que Mistral pedía.
147,Nicolás Guillén,Cuba,Siglo XX,Poeta (Negrismo),Identidad afrocubana,identidad,Tengo lo que tenía que tener — mi África dentro. No me lo quitaron aunque lo intentaron.,Conga,Miami Sound Machine,Salsa / Pop,1985,La celebración rítmica de la identidad afrolatina — cuerpo y cultura como resistencia.
148,César Vallejo,Perú,Siglo XX,Poeta,Hermandad en el dolor,fraternidad,Hermano — hoy me pesa el mundo en los codos. Y sin embargo estoy aquí — y tú también.,With a Little Help from My Friends,Joe Cocker (cover),Rock / Soul,1969,La solidaridad como único sostén cuando el peso del mundo se hace insoportable.
149,José Martí,Cuba,Siglo XIX,Poeta / Libertador,Patria y libertad,patriotismo,Con los pobres de la tierra quiero yo mi suerte echar. El arroyo de la sierra me complace más que el mar.,This Land Is Your Land,Woody Guthrie,Folk,1940,Ambos cantan a una tierra que pertenece a su gente — no a los poderosos sino a los sencillos.
150,Idea Vilariño,Uruguay,Siglo XX,Poeta,Desamor definitivo,desamor,Ya no. No te veré nunca más. Ya no. El amor puede tener fin — y eso también hay que aprender.,Someone Like You,Adele,Pop,2011,El momento de aceptar que el amor terminó — con dolor pero sin falsas esperanzas.
151,Blaise Cendrars,Suiza / Francia,Siglo XX,Poeta,Viaje y aventura,aventura,El mundo entero es mi patio trasero. Viajé tanto que ya no sé dónde empieza mi alma.,Come Away With Me,Norah Jones,Jazz / Pop,2002,Una invitación a escapar juntos — el viaje como forma de amor y descubrimiento.
152,Jules Supervielle,Uruguay / Francia,Siglo XX,Poeta,Asombro cósmico,asombro,Estamos hechos del mismo material que las estrellas. ¿Cómo podemos no maravillarnos?,Space Oddity,David Bowie,Art rock,1969,Ambos miran el cosmos con un asombro mezclado de vértigo y belleza sin nombre.
153,Valéry Larbaud,Francia,Siglo XX,Poeta,Cosmopolitismo,apertura,Soy ese extranjero que llega a todas las ciudades con los ojos abiertos. Vivir así es un arte.,Jet Setter,Iggy Pop,Punk / Rock,1977,La vida como viaje continuo — sin arraigo fijo — como forma radical de estar en el mundo.
